"Anio","Trimestre","Empresa","NombreCorto","NombreLargo","SIC","NAICS","Activos","Inventarios","PasivoCirc","PasivoLP","PPE","CPP","Efectivo","GC","CBV","UOAD","Ventas","IGR","Deuda","CPC","GO","GVGA","Precio_Accion","mkt_capital","No_Acciones"
2011,1,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,2323.243,272.272,635.571,130.391,1475.988,190.357,64.145,13.5410003662109,523.138977050781,8.33199977874756,719.346008300781,6.05000019073486,130.391006469727,403.532989501953,711.014038085938,187.875061035156,1927.8297,1474.3451,0.764769367335714
2011,2,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,2290.881,278.133,624.733,124.677,1456.825,185.559,52.482,14.8179998397827,523.818969726562,5.17199993133545,711.091979980469,5.61399984359741,124.677001953125,389.848999023438,705.919982910156,182.101013183594,1455.4432,1512.1488,1.03896105323794
2011,3,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,2491.746,321.642,751.639,126.911,1498.611,230.876,80.95,14.2519998550415,619.922973632812,32.0620002746582,853.393981933594,6.26599979400635,126.911003112793,472.227996826172,821.331970214844,201.408996582031,918.8927,1474.3451,1.60448015312343
2012,2,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,2718.73,417.208,794.397,236.824,1534.349,221.575,17.539,14.1700000762939,-191.52799987793,75.2870025634766,-312.390991210938,-3.90499997138977,99.8570022583008,525.307006835938,-387.677978515625,-196.149978637695,1937.2799,1455.4432,0.751281835939143
2012,3,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,2773.19,398.261,799.815,225.036,1481.102,201.945,31.151,12.7019996643066,816.877990722656,117.599998474121,1069.00903320312,5.28299999237061,89.8050003051758,557.691955566406,951.409057617188,134.531066894531,1323.1302,1323.1302,1
2012,4,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,2805.177,405.693,809.958,226.141,1473.781,211.315,23.002,24.375,783.880981445312,26.6299991607666,1058.13903808594,3.60199999809265,99.4389953613281,521.127990722656,1031.50903320312,247.628051757812,1084.2934,1587.7562,1.46432340176561
2013,1,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,2802.053,336.292,803.702,220.722,1421.685,191.249,46.124,78.3379974365234,745.309020996094,51.1160011291504,995.331970214844,3.83800005912781,93.0110015869141,552.460021972656,944.215942382812,198.906921386719,1069.2569,1587.7562,1.48491555209978
2013,2,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,2976.591,400.095,812.644,314.954,1513.819,224.838,22.293,99.0619964599609,727.231018066406,47.6860008239746,991.950988769531,2.49799990653992,188.412002563477,604.029968261719,944.265014648438,217.033996582031,84.3714,1512.1484,17.9225235091512
2013,3,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,3126.203,450.689,915.486,320.026,1589.337,291.057,26.263,32.6689987182617,812.591003417969,47.9329986572266,1078.28002929688,3.71000003814697,193.229995727539,591.815979003906,1030.34704589844,217.756042480469,1948.6201,1502.6975,0.771159806880777
2013,4,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,3069.793,441.97,795.294,358.768,1617.836,207.854,34.688,123.978996276855,793.656982421875,57.2550010681152,1070.81896972656,3.60899996757507,223.498992919922,591.435974121094,1013.56396484375,219.906982421875,1587.7562,1786.2253,1.12499973232666
2014,1,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,3210.671,449.452,890.552,377.343,1605.819,203.85,19.755,11.5410003662109,774.906005859375,39.1450004577637,1030.89099121094,4.45100021362305,116.429000854492,665.294982910156,991.745971679688,216.839965820312,1587.7562,1776.7744,1.11904737011891
2014,2,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,3251.019,435.156,915.446,372.675,1634.109,237.67,36.708,49.7540016174316,802.320007324219,38.9370002746582,1063.55798339844,3.89100003242493,107.42399597168,691.299987792969,1024.62097167969,222.300964355469,1059.2326,1776.7744,1.67741665050717
2014,3,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,3457.089,467.074,1011.409,378.49,1598.775,302.83,19.046,19.8369998931885,930.452026367188,99.2379989624023,1189.08703613281,3.32800006866455,117.923004150391,767.296997070312,1089.84899902344,159.39697265625,132.8222,1776.7744,13.3770890709535
2014,4,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,3703.051,592.737,1122.774,375.837,1666.19,347.594,16.345,32.7980003356934,942.984008789062,35.1889991760254,1210.0810546875,4.01999998092651,116.383003234863,683.343994140625,1174.89208984375,231.908081054688,1946.7301,1757.8726,0.902987322176813
2015,1,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,3723.66,538.067,1136.617,336.776,1683.207,263.379,35.621,33.6800003051758,1030.35205078125,67.984001159668,1337.70300292969,4.76300001144409,107.561996459961,799.434997558594,1269.71899414062,239.366943359375,1956.1802,1746.5314,0.892827460374049
2015,2,"ACCEL, S.A.B. DE C.V.","ACCEL","ACCEL",2000,311,3916.744,587.7,1254.245,322.299,1707.546,308.735,16.876,28.3439998626709,1057.71496582031,84.5139999389648,1398.03503417969,5.78299999237061,98.60400390625,867.776977539062,1313.52099609375,255.806030273438,1512.1484,1738.9707,1.15000002645243
