Banco de México,,,,
Fecha de consulta: 15/05/2020 04:47:51,,,,
Fecha,M1,M2,M3,M4
01/01/2001,524836130,1776421088,1957967687,1984585651
01/02/2001,517186606,1793737881,1980288020,2006442967
01/03/2001,509701873,1813184631,2004937498,2030529020
01/04/2001,511952430,1831650212,2022235803,2048331453
01/05/2001,514845460,1844982118,2044313998,2074295797
01/06/2001,531037690,1874069919,2074976636,2105512777
01/07/2001,535590659,1902154339,2085114008,2117781149
01/08/2001,546637482,1941486165,2124978941,2153260070
01/09/2001,578773947,1963392600,2153382647,2181575634
01/10/2001,577395500,2005006311,2188725389,2214295621
01/11/2001,610195419,2027455185,2237688119,2263969254
01/12/2001,680465101.7,2051445324,2246850944,2279012678
01/01/2002,633735844.4,2025027905,2209485902,2240006106
01/02/2002,627350424.1,2015289239,2218255044,2247433741
01/03/2002,642571824.4,2040686720,2241605116,2271723565
01/04/2002,629813665.7,2018450025,2236486261,2268798862
01/05/2002,632831164.5,2058004444,2244558623,2274861147
01/06/2002,653585380.9,2067318859,2279148786,2309048860
01/07/2002,650359307.9,2076970785,2280461170,2311051142
01/08/2002,647583240.8,2063013368,2274224125,2299430432
01/09/2002,654061115.1,2047672467,2271543705,2298464790
01/10/2002,651911832.1,2055627847,2289008845,2318188452
01/11/2002,679638518.8,2151458055,2408001110,2435567534
01/12/2002,766241058.5,2176465317,2427046482,2455711656
01/01/2003,719717017.7,2199341968,2411520247,2451545150
01/02/2003,707376873.6,2193188057,2392296017,2426113530
01/03/2003,714382417.1,2165133600,2377738956,2416371430
01/04/2003,702921409.5,2160440657,2374009434,2409664652
01/05/2003,711851230.1,2186149137,2390819908,2425545422
01/06/2003,727496498.3,2148802351,2375141331,2411462154
01/07/2003,722539884.1,2191210125,2421486624,2464554721
01/08/2003,720237740.5,2178263151,2417294582,2463028263
01/09/2003,723358643.5,2195512337,2451161011,2494511673
01/10/2003,731312557.6,2196196189,2448639040,2489268650
01/11/2003,765699246.1,2187834956,2449018674,2488896240
01/12/2003,857418364.2,2331594975,2607818731,2645095999
01/01/2004,811975918,2339289329,2564991154,2611785229
01/02/2004,804429647.4,2285732239,2532281631,2591187708
01/03/2004,796861660.5,2312217167,2540681785,2622618121
01/04/2004,799774807.4,2306755673,2549256765,2598577457
01/05/2004,816684885.4,2291715363,2542956730,2589911185
01/06/2004,849498926.4,2336357856,2611077096,2670053904
01/07/2004,830657826.8,2300126954,2577388741,2631472647
01/08/2004,824501677.8,2300666021,2557817160,2620076450
01/09/2004,832481290.2,2340295312,2548599026,2625096659
01/10/2004,844900914.9,2379130414,2605540709,2688796091
01/11/2004,865986082.3,2432524755,2613570128,2707165360
01/12/2004,946312797.1,2493275018,2715624840,2809007975
01/01/2005,908035091.6,2467608912,2667752473,2779174451
01/02/2005,903986453.7,2446272629,2660632644,2771518908
01/03/2005,890367065.1,2468978150,2674365281,2792831721
01/04/2005,890894217.5,2476323493,2675178735,2793418060
01/05/2005,892003008.8,2461296990,2670568899,2789241738
01/06/2005,929955320.6,2510152999,2719219807,2844573683
01/07/2005,924866787.2,2530217233,2751182872,2879277886
01/08/2005,916392444.5,2548081745,2750822939,2882813120
01/09/2005,924600729.5,2583841433,2805962562,2936753831
01/10/2005,934761855.5,2646976727,2867792326,2999144845
01/11/2005,962288428.1,2686753941,2895934010,3029507653
01/12/2005,1068139312,2847571536,3033053549,3169019576
01/01/2006,1019917763,2844250762,2993440327,3135131561
01/02/2006,1012587330,2877334284,3044877557,3198706257
01/03/2006,1032942320,2980422004,3163871164,3329175586
01/04/2006,1042284481,3048483722,3236141219,3417691290
01/05/2006,1047836111,3033323264,3243798943,3419337179
01/06/2006,1096855213,3072939063,3306298184,3485925940
01/07/2006,1091461936,3008830705,3252418723,3409114594
01/08/2006,1060740930,2985924210,3248576820,3393810226
01/09/2006,1074176151,2996147269,3269032822,3422090961
01/10/2006,1067786693,3001393662,3241585282,3401378027
01/11/2006,1117490224,3029332577,3306558213,3478285175
01/12/2006,1218196212,3203214575,3499687088,3676037795
01/01/2007,1145328848,3157546039,3394840359,3575554047
01/02/2007,1130788211,3182388232,3402686408,3583742507
01/03/2007,1144618543,3208342307,3467830071,3659995688
01/04/2007,1126302579,3168402699,3405540200,3595898097
01/05/2007,1132230566,3202547655,3465365921,3668240254
01/06/2007,1173513684,3257091854,3484102396,3677291711
01/07/2007,1162624881,3244411352,3468044296,3676038655
01/08/2007,1172696609,3321093759,3606460805,3816403710
01/09/2007,1198792698,3330380293,3589926854,3816091600
01/10/2007,1178607329,3364182525,3622357545,3853925366
01/11/2007,1212874658,3425921998,3685052187,3938412800
01/12/2007,1349790076,3559334856,3808118453,4069571448
01/01/2008,1267859659,3559901990,3819358984,4117810680
01/02/2008,1253250279,3553857620,3810129333,4124363966
01/03/2008,1231223441,3541257666,3800261651,4119809822
01/04/2008,1231574620,3568563980,3861196063,4185379739
01/05/2008,1235484205,3645158792,3931750257,4251449779
01/06/2008,1242487027,3649332257,3914688441,4230063521
01/07/2008,1232771264,3665262001,3985901797,4336440512
01/08/2008,1235888354,3625451382,3931097436,4306927606
01/09/2008,1240044574,3652276006,3940307284,4315010323
01/10/2008,1280698618,3773233845,4020882625,4351414093
01/11/2008,1336988462,3805039177,4085021645,4399287112
01/12/2008,1482728232,3972390752,4340072177,4660481303
01/01/2009,1416248742,3983477996,4371261026,4692168643
01/02/2009,1420748804,3987232481,4429589278,4727573822
01/03/2009,1403282963,3974376380,4394317694,4696226674
01/04/2009,1394809716,3969889246,4404234909,4707236532
01/05/2009,1405502624,3929565413,4351692066,4656478685
01/06/2009,1412155201,3970812165,4410751118,4702993428
01/07/2009,1416052316,3991646291,4451033650,4750449839
01/08/2009,1406616186,3894463303,4400205631,4708587599
01/09/2009,1408923740,3913068198,4385415370,4713628507
01/10/2009,1456830289,3968328795,4492278219,4838298036
01/11/2009,1481480152,3982432847,4511445668,4871388499
01/12/2009,1613450000,4130781440,4616366611,4988876194
01/01/2010,1547730010,4081855490,4531526690,4918091291
01/02/2010,1517869614,4094608048,4511611320,4919903357
01/03/2010,1524673469,4032744722,4506117243,4948233401
01/04/2010,1503990112,4019684815,4507718380,4996163235
01/05/2010,1526831442,4093547244,4580986425,5070400228
01/06/2010,1557126005,4132719561,4596013260,5090236268
01/07/2010,1562707324,4152034064,4653645362,5187667368
01/08/2010,1561715861,4231955534,4729850520,5286095438
01/09/2010,1575903554,4193951327,4700175225,5296003520
01/10/2010,1581896027,4294427496,4805584684,5471975546
01/11/2010,1627355714,4297482581,4734208429,5414738054
01/12/2010,1831591445,4442009702,4886367969,5618257399
01/01/2011,1728772138,4431859293,4890732744,5624044046
01/02/2011,1723622269,4441379304,4892512638,5666671669
01/03/2011,1734597226,4444644901,4884753169,5693473963
01/04/2011,1742346200,4476820114,4928006940,5795276082
01/05/2011,1725414015,4470236062,4948969396,5883959500
01/06/2011,1786661865,4527262924,5021114023,5957182547
01/07/2011,1773596721,4565834755,5055871255,6038803390
01/08/2011,1770802580,4608944109,5156864474,6217445171
01/09/2011,1878140344,4631368843,5197419460,6203314946
01/10/2011,1860381606,4722292966,5310571212,6359056315
01/11/2011,1896333582,4786314214,5330381785,6385071461
01/12/2011,2081526298,4960125963,5547991481,6696737943
01/01/2012,1977024819,4963954577,5531718869,6756553373
01/02/2012,1938067673,4967753450,5535900386,6788577273
01/03/2012,2025670843,5063813574,5647415562,6909560156
01/04/2012,1993418065,5027747965,5604362326,6944225441
01/05/2012,2024555007,5055211379,5685210098,7037153565
01/06/2012,2103633907,5100292843,5781908370,7208221851
01/07/2012,2045683290,5104114983,5790815652,7304817169
01/08/2012,2065560499,5123551112,5833695350,7348650360
01/09/2012,2076104428,5091448045,5809012599,7415432734
01/10/2012,2051920924,5187025104,5881732296,7516286880
01/11/2012,2134858980,5190395258,5900524185,7590296811
01/12/2012,2278174708,5306754531,6004541370,7814348863
01/01/2013,2173269543,5293968556,6034080966,7922843535
01/02/2013,2154134555,5297301366,5977103115,7887801951
01/03/2013,2174771787,5319918052,6041747488,8037338888
01/04/2013,2142217471,5285413686,5937202553,8024956180
01/05/2013,2171176314,5326721542,6054674798,8081487987
01/06/2013,2211663709,5469573182,6137825844,8032965483
01/07/2013,2207369361,5520228165,6177329062,8083107684
01/08/2013,2239638324,5554395124,6285791397,8166603099
01/09/2013,2245970278,5534930381,6280561210,8238401883
01/10/2013,2214060389,5600967124,6421696745,8376027734
01/11/2013,2344972158,5698579403,6538246290,8510125840
01/12/2013,2511368572,5872306248,6608001198,8648388935
01/01/2014,2453893755,5881668900,6616094725,8614377567
01/02/2014,2438087944,5859314860,6642185576,8748159375
01/03/2014,2445032397,5852057425,6629092246,8738105204
01/04/2014,2460979495,5967748671,6716193109,8786498983
01/05/2014,2489140491,5990793818,6730362778,8891906772
01/06/2014,2504596298,6060946403,6847905053,9050303339
01/07/2014,2531496077,6111404449,6906263244,9166899478
01/08/2014,2545089854,6123665718,6942106216,9183766572
01/09/2014,2556416712,6114631328,6902129575,9130298392
01/10/2014,2618525167,6163058349,7088509871,9368578752
01/11/2014,2711723106,6208067094,7136480700,9535566621
01/12/2014,2876506247,6356234194,7231689758,9630957416
01/01/2015,2887393059,6497554674,7336186738,9814038682
01/02/2015,2869132683,6483423543,7357311049,9807460206
01/03/2015,2884130824,6418897094,7271476164,9666351336
01/04/2015,2922876605,6476126231,7395799967,9789984920
01/05/2015,2941241425,6536224878,7492813421,9892928856
01/06/2015,2967522802,6537726406,7488082796,9858297954
01/07/2015,3023155178,6548994514,7533212348,9929652200
01/08/2015,3052866101,6551246163,7543636464,9958348276
01/09/2015,3056561053,6558231868,7470464397,9883588125
01/10/2015,3103509535,6614957229,7597419847,9967876775
01/11/2015,3129911043,6515031607,7539257446,9857137420
01/12/2015,3348743500,6761044535,7769928305,10119051450
01/01/2016,3296228415,6804560202,7877380405,10237162102
01/02/2016,3272357666,6771465678,7848307435,10194510396
01/03/2016,3301177621,6816853593,7824719315,10160873247
01/04/2016,3318515721,6879613016,7849323982,10188615938
01/05/2016,3381895447,6987906902,7942800881,10183335454
01/06/2016,3440349801,7119001193,8073066967,10257839803
01/07/2016,3456182318,7168971857,8131866094,10314304744
01/08/2016,3469969234,7116798713,8084354435,10279248450
01/09/2016,3488334775,7231920684,8254531377,10567747940
01/10/2016,3513857741,7269977360,8225793511,10515082025
01/11/2016,3650474085,7381047628,8380701288,10613188582
01/12/2016,3868310952,7662999027,8581481845,10811214960
01/01/2017,3811392752,7603905361,8566037535,10832688936
01/02/2017,3798023998,7587829341,8541722040,10861360016
01/03/2017,3783838369,7540815124,8581697755,10931462896
01/04/2017,3812359643,7555699223,8598752388,10949605002
01/05/2017,3739860928,7559946604,8548068502,10868736170
01/06/2017,3805689580,7676700269,8732556783,11068595775
01/07/2017,3822383203,7740065390,8882335581,11183729491
01/08/2017,3777435858,7698045372,8795875283,11092873184
01/09/2017,3859419791,7846367662,8975586670,11327869556
01/10/2017,3920568309,7935068634,8993363453,11309783955
01/11/2017,3994732947,8061705114,9162047114,11476959697
01/12/2017,4264017582,8394065090,9494959091,11712255875
01/01/2018,4075871704,8236764222,9204188799,11438454191
01/02/2018,4075774261,8262795220,9274968547,11469513247
