"","gvkey","indfmt","consol","popsrc","datafmt","datacqtr","datafqtr","fqtr","fyearq","datadate","actq","apoq","apq","atq","ceqq","cheq","chq","cogsq","dlcq","dlttq","fcaq","feaq","felq","gpq","ibmiiq","ibq","invtq","lctq","lltq","oiadpq","oibdpq","ppentq","rawmsmq","rectq","saleq","xintq","xoproq","xoprq","xsgaq","xsq","xstoq","xstq","apchy","capxfiy","capxy","cogsy","dltisy","dltry","eqdivpy","fcay","ibcy","invchy","ltdchy","prstkcy","rawmsmy","saley","sstky","wcapty","xinty","costat","fic","conml","naics","sic"
"1","005832","INDL","C","I","HIST_STD","1999Q2","1999Q2",2,1999,1999-06-30,441.276,377.192,24.971,706.048,-203.31,72.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.339,402.163,0,NA,NA,263.248,NA,192.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473.715,NA,NA,30.376,"I","MEX","IEM-Industria Elec Mexico SA","334412","3620"
"2","005832","INDL","C","I","HIST_STD","1999Q4","1999Q4",4,1999,1999-12-31,373.095,221.211,39.293,620.639,300.165,63.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.672,293.74,0,NA,NA,247.544,NA,174.645,NA,NA,NA,NA,NA,NA,NA,NA,-3.745,NA,27.724,758.728,NA,NA,NA,NA,89.747,48.267,0,0,NA,1017.218,0,NA,43.913,"I","MEX","IEM-Industria Elec Mexico SA","334412","3620"
"3","005832","INDL","C","I","HIST_STD","2000Q2","2000Q2",2,2000,2000-06-30,622.868,435.953,46.442,881.896,-186.059,123.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.498,482.395,0,NA,NA,258.02,NA,340.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521.284,NA,NA,22.981,"I","MEX","IEM-Industria Elec Mexico SA","334412","3620"
"4","005832","INDL","C","I","HIST_STD","2000Q4","2000Q4",4,2000,2000-12-31,342.643,81.467,41.542,610.835,347.55,1.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.437,186.092,76.474,NA,NA,263.675,NA,193.122,NA,NA,NA,NA,NA,NA,NA,NA,19.489,NA,24.765,831.335,NA,NA,NA,NA,80.177,-35.626,0,0,NA,1129.096,0,NA,35.693,"I","MEX","IEM-Industria Elec Mexico SA","334412","3620"
"5","010755","INDL","C","I","HIST_STD","1999Q2","1999Q2",2,1999,1999-06-30,3384.97,239.206,438.969,11708.589,380.9,614.731,NA,730.243,1181.673,NA,NA,NA,NA,261.995,NA,-62.615,1274.943,1859.848,0,86.026,86.026,7407.695,NA,1150.274,992.238,30.682,NA,906.212,175.969,NA,NA,NA,NA,NA,NA,1351.203,NA,NA,NA,NA,-167.234,NA,NA,NA,NA,2290.015,NA,NA,52.009,"I","MEX","Tubos De Acero De Mexico","331111","3312"
"6","010755","INDL","C","I","HIST_STD","1999Q4","1999Q4",4,1999,1999-12-31,3309.184,51.833,565.114,10917.531,8867.254,249.02,NA,NA,1113.173,NA,NA,NA,NA,NA,NA,NA,1367.403,1886.244,0,NA,NA,6917.35,NA,1364.33,NA,NA,NA,NA,NA,NA,NA,NA,-194.2,NA,396.379,2530.01,NA,NA,NA,NA,-297.767,-51.771,-444.168,28.25,NA,4244.189,0,NA,99.531,"I","MEX","Tubos De Acero De Mexico","331111","3312"
"7","010755","INDL","C","I","HIST_STD","2000Q2","2000Q2",2,2000,2000-06-30,3333.603,246.528,592.699,11526.408,6968.733,275.816,NA,915.854,517.598,995.38,NA,NA,NA,451.699,NA,-68.893,1248.317,1356.825,3018.252,200.632,200.632,7180.435,NA,1592.201,1367.553,92.035,NA,1166.921,251.067,NA,NA,NA,NA,NA,NA,1617.012,NA,NA,NA,NA,98.922,NA,NA,NA,NA,2653.429,NA,NA,95.024,"I","MEX","Tubos De Acero De Mexico","331111","3312"
"8","010755","INDL","C","I","HIST_STD","2000Q4","2000Q4",4,2000,2000-12-31,3787.797,75.941,841.463,11755.967,7027.958,300.454,NA,NA,334.07,957.22,NA,NA,NA,NA,NA,NA,1344.344,1501.322,3047.26,NA,NA,7029.967,NA,1859.653,NA,NA,NA,NA,NA,NA,NA,NA,314.516,NA,409.675,3456.681,NA,NA,NA,NA,381.945,34.054,957.22,0,NA,5856.541,0,NA,69.225,"I","MEX","Tubos De Acero De Mexico","331111","3312"
"9","010755","INDL","C","I","HIST_STD","2001Q2","2001Q2",2,2001,2001-06-30,3779.529,524.518,728.236,11809.905,-2897.681,234.781,NA,NA,1337.306,23.981,NA,NA,NA,NA,NA,NA,1246.926,2590.06,1998.587,NA,NA,7151.01,NA,2072.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,3388.588,NA,NA,NA,"I","MEX","Tubos De Acero De Mexico","331111","3312"
"10","010755","INDL","C","I","HIST_STD","2001Q4","2001Q4",4,2001,2001-12-31,3741.086,233.377,617.325,11859.997,7149.069,556.885,NA,NA,234.043,1288.15,NA,NA,NA,NA,NA,NA,1446.139,1174.914,3507.771,NA,NA,7500.537,NA,1734.715,NA,NA,NA,NA,NA,NA,NA,NA,-322.2,NA,805.278,3437.681,NA,NA,NA,NA,526.378,-188.813,349.723,0,NA,6526.936,0,NA,76.794,"I","MEX","Tubos De Acero De Mexico","331111","3312"
